cropId,growPhaseCount,spawnWeight,imagePaths
I004,7,0.04,driveAssets/art/garden/crops/뿌리식물1;driveAssets/art/garden/crops/뿌리식물2;driveAssets/art/garden/crops/뿌리식물3
I005,7,0.04,driveAssets/art/garden/crops/식물1;driveAssets/art/garden/crops/식물2;driveAssets/art/garden/crops/식물3;driveAssets/art/garden/crops/가지
I012,3,0.20,driveAssets/art/garden/crops/버섯1;driveAssets/art/garden/crops/버섯2;driveAssets/art/garden/crops/버섯3
I013,7,0.04,driveAssets/art/garden/crops/새벽풀1;driveAssets/art/garden/crops/새벽풀2;driveAssets/art/garden/crops/새벽풀3
I017,7,0.04,driveAssets/art/garden/crops/뿌리식물1;driveAssets/art/garden/crops/뿌리식물2;driveAssets/art/garden/crops/뿌리식물3
I018,7,0.04,driveAssets/art/garden/crops/파1;driveAssets/art/garden/crops/파2;driveAssets/art/garden/crops/파3
I025,3,0.20,driveAssets/art/garden/crops/식물1;driveAssets/art/garden/crops/식물2;driveAssets/art/garden/crops/식물3
I026,5,0.12,driveAssets/art/garden/crops/식물1;driveAssets/art/garden/crops/식물2;driveAssets/art/garden/crops/식물3
I027,5,0.12,driveAssets/art/garden/crops/식물1;driveAssets/art/garden/crops/식물2;driveAssets/art/garden/crops/식물4;driveAssets/art/garden/crops/토마토
I028,7,0.04,driveAssets/art/garden/crops/식물1;driveAssets/art/garden/crops/식물2;driveAssets/art/garden/crops/식물4;driveAssets/art/garden/crops/콩
I029,7,0.04,driveAssets/art/garden/crops/식물1;driveAssets/art/garden/crops/식물2;driveAssets/art/garden/crops/식물3;driveAssets/art/garden/crops/꽃
I065,7,0.04,driveAssets/art/garden/crops/뿌리식물1;driveAssets/art/garden/crops/뿌리식물2;driveAssets/art/garden/crops/뿌리식물3
I066,7,0.04,driveAssets/art/garden/crops/뿌리식물1;driveAssets/art/garden/crops/뿌리식물2;driveAssets/art/garden/crops/뿌리식물3
