"groupId","id","npc","contents","condition","next","branchId"
"power_room_pair","D001","자르","이 구역 처음이지? 냄새만 맡아도 알겠다.","FirstMeet","D002",""
"power_room_pair","D002","플레이어","배달 때문에 자주 오진 않아요. 살아 돌아가기 힘들거든요.","Serial","D003",""
"power_room_pair","D003","게토로","안전 확률 43%. 평균 이하입니다.","Serial","D004",""
"power_room_pair","D004","플레이어","위로가 되는 수치는 아니네요.","Serial","D005",""
"power_room_pair","D005","자르","여기선 배보다 전기가 먼저 고장 나지.","Serial","D006",""
"power_room_pair","D006","플레이어","그래서 배달이 필요한 거겠죠.","Serial","",""
"power_room_pair","D007","자르","겁먹은 표정인데, 괜찮겠어?","Normal","","B001"
"power_room_pair","D008","자르","하, 마음에 드는군. 배달꾼답네.","Serial","",""
"power_room_pair","D009","자르","솔직한 놈이 오래 살지. 조심만 해라.","Serial","",""
"power_room_pair","D010","자르","왔군. 냄새만으로도 배달꾼인 줄 알았다.","QuestStart","D011",""
"power_room_pair","D011","플레이어","합성 닭 도시락 배달 왔습니다. 따끈하게","Serial","D012",""
"power_room_pair","D012","게토로","경고. 주변 전류 과다 감지.","Serial","D013",""
"power_room_pair","D013","자르","여기선 음식도 시험을 통과해야 먹을 수 있어.","Serial","","B002"
"power_room_pair","D014","내레이션","(도시락이 스파크에 타버린다.)","Serial","D015",""
"power_room_pair","D015","게토로","도시락 온도 급상승. 탄화 진행.","Serial","D016",""
"power_room_pair","D016","자르","음식이 아니라 사고 현장인데?","Serial","D017",""
"power_room_pair","D017","플레이어","…이 환경에선 일반 도시락은 못 버티네요.","Serial","D018",""
"power_room_pair","D018","게토로","절연 재료 필요성 확인.","Serial","D019",""
"power_room_pair","D019","플레이어","폐수조 근처 절연 버섯이라면 가능할지도.","Serial","D020",""
"power_room_pair","D020","자르","그거면 기다릴 가치 있지.","Serial","D021",""
"power_room_pair","D021","플레이어","구해오겠습니다.","Serial","",""
"power_room_pair","D022","게토로","현명한 판단.","Serial","D023",""
"power_room_pair","D023","자르","눈치는 있군. 준비되면 다시 말해라.","Serial","",""
"power_room_pair","D024","자르","아직이냐? 배보다 성질이 먼저 타겠다.","Ordering","","B003"
