"id","order","contents","next","resultTag"
"B001","0","괜찮아요\n이런 곳도 일이니까요.","D008",""
"B001","1","솔직히 위험해 보여요\n감전은 별로 안 좋아해서요.","D009",""
"B002","0","그냥 열어볼게요\n괜찮을 거예요.","D014","accept"
"B002","1","잠깐 주변부터 볼게요\n전기가 너무 강해요.","D022","defer"
"B003","0","거의 다 됐어요\n재료 구해오는 중이에요.","D025",""
"B003","1","생각보다 위험하네요\n폐수조 상태가 안 좋아요.","D026",""
"B004","0","자르가 먹어요\n기다린 건 당신이니까.","D045",""
"B004","1","셋이 나누죠\n온도는 나눌수록 오래 가요.","D046",""
"B010","0","배달 다니다 들렀어요.\n오늘도 바쁘네요.","D104",""
"B010","1","그냥 얼굴 보러 왔어요.\n가끔은 쉬어야죠.","D105",""
"B011","0","해볼게요.\n새벽풀만 구하면 될 것 같아요.","D108","accept"
"B011","1","좀 생각해볼게요.\n아직 준비가 안 됐어요.","D110","defer"
"B012","0","거의 다 됐어요.\n조금만 기다려주세요.","D112",""
"B012","1","좀 더 걸릴 것 같아요.\n재료가 부족해서요.","D113",""
"B013","0","맛있게 드세요.\n또 만들어줄게요.","D117",""
"B013","1","별거 아니에요.\n다음에 또 올게요.","D118",""
"B020","0","일하러 왔어요.\n잠은 나중에 자세요.","D204",""
"B020","1","저도 졸린데…\n같이 자면 안 되죠?","D205",""
"B021","0","만들어볼게요.\n면 요리 좋아해요.","D208","accept"
"B021","1","지금은 좀…\n다음에 할게요.","D210","defer"
"B022","0","거의 다 돼가요.\n곧 가져올게요.","D212",""
"B022","1","좀 더 걸려요.\n면 삶는 게 까다로워서.","D213",""
"B023","0","맛있게 드세요.\n잠깬 보람이 있네요.","D217",""
"B023","1","푹 주무세요.\n다음에 또 올게요.","D218",""
"B030","0","네, 잘 지내요.\n오늘도 조용하네요.","D304",""
"B030","1","뭐… 그럭저럭요.\n살아있으니까요.","D305",""
"B031","0","좋아요. 만들어올게요.\n고기는 자신 있어요.","D308","accept"
"B031","1","좀 이따요.\n아직 준비가 덜 됐어요.","D310","defer"
"B032","0","거의 다요.\n고기 굽는 중이에요.","D312",""
"B032","1","조금만 더요.\n완벽하게 만들고 싶어서.","D313",""
"B033","0","맛있게 드세요.\n뿌듯하네요.","D317",""
"B033","1","다음에 또 만들어줄게요.\n자주 올게요.","D318",""
"B040","0","오늘은 구경이에요.\n가끔은 쉬어야죠.","D404",""
"B040","1","배달 왔다가요.\n근처 지나는 길이에요.","D405",""
"B041","0","재밌겠다!\n만들어볼게요!","D408","accept"
"B041","1","다음에 할게요.\n지금은 좀 바빠서.","D410","defer"
"B042","0","거의 다 됐어요!\n조금만 기다려요!","D412",""
"B042","1","아직이요…\n좀 더 걸릴 것 같아요.","D413",""
"B043","0","맛있죠?\n자신작이에요!","D417",""
"B043","1","또 만들어줄게요!\n약속!","D418",""
"B050","0","잘 지냅니다.\n오늘도 무사해요.","D504",""
"B050","1","좀 피곤하긴 해요.\n배달이 많아서요.","D505",""
"B051","0","준비해오겠습니다.\n맡겨주세요.","D508","accept"
"B051","1","잠시 시간을 주세요.\n아직 재료가 부족해서.","D510","defer"
"B052","0","거의 완성이에요.\n곧 가져다드릴게요.","D512",""
"B052","1","조금만 더 기다려주세요.\n최대한 빨리 할게요.","D513",""
"B053","0","맛있게 드세요.\n보람차네요.","D517",""
"B053","1","감사합니다.\n좋은 하루 보내세요.","D518",""
