id,OutputId,MinigameId,InputInfoList
R000,I000,,
R002,I032,M002,I070-1.20/I012-1.20/I069-1.20
R003,I033,M002,I032-1.20/I013-1.20
R004,I034,M002,I033-1.20/I003-1.20
R005,I035,M002,I002-1.20/I069-1.20
R006,I036,M006,I012-1.20
R007,I037,M004,I036-1.20/I015-1.20
R008,I038,M001,I014-1.20/I004-1.20/I016-1.20
R009,I039,M001,I035-1.20/I037-1.20/I038-1.20
R010,I040,M006,I009-1.20
R012,I042,M001,I017-1.20
R013,I043,M004,I007-1.20/I019-1.20
R014,I044,M001,I040-1.20/I042-1.20/I043-1.20
R015,I045,M002,I010-1.20
R016,I046,M004,I045-1.20/I020-1.20/I008-1.20
R017,I047,M007,I022-1.20/I009-1.20/I021-1.20
R018,I048,M001,I065-1.20/I066-1.20
R019,I049,M007,I047-1.20/I048-1.20
R020,I050,M002,I001-1.20/I069-1.20
R021,I051,M004,I050-1.20/I023-1.20/I024-1.20/I005-1.20/I025-1.20
R022,I052,M005,I067-1.20/I051-1.20
R023,I053,M007,I068-1.20/I052-1.20
R024,I054,M001,I028-1.20
R025,I055,M004,I026-1.20/I025-1.20/I027-1.20/I054-1.20/I029-1.20
R026,I056,M005,I055-1.20/I008-1.20
R027,I057,M004,I030-1.20/I012-1.20/I018-1.20
R028,I058,M001,I057-1.20/I021-1.20
R029,I059,M001,I010-1.20
R030,I060,M001,I059-1.20/I026-1.20/I027-1.20
R031,I061,M004,I031-1.20/I022-1.20/I025-1.20
R032,I062,M001,I061-1.20/I068-1.20
